time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail,trace_id_front,trace_id_tail,c_id
8043.0,59.79564267526975,15.270902675786306,1493,1,4,4674,8059.0,59.74006140584283,14.311125287459763,1493.0,2.0,4.0,10198.0,225,241,77
8045.0,59.80097574871744,15.299517218327225,1494,1,4,4679,8061.0,59.7433279228377,14.829852286786366,1494.0,2.0,4.0,10203.0,225,241,77
8047.0,59.804960542472486,15.278379317929131,1495,1,4,4684,8062.0,59.74915249963983,14.722720472119322,1495.0,2.0,4.0,10208.0,225,241,77
8048.0,59.811337497414286,15.692387554567256,1496,1,4,4689,8064.0,59.75202413441393,14.901338018579604,1496.0,2.0,4.0,10213.0,225,241,77
8049.0,59.81734250530046,15.700614472748374,1497,1,4,4694,8065.0,59.75833285983945,14.17219910263525,1497.0,2.0,4.0,10218.0,225,241,77
8055.0,59.80185258215999,15.41443815438031,1498,1,4,4700,8066.0,59.76216619230668,14.144162467000772,1498.0,2.0,4.0,10224.0,225,241,77
8055.0,59.80185258215999,15.41443815438031,1498,1,4,4700,8066.0,59.76216619230668,14.144162467000772,1498.0,2.0,4.0,10224.0,225,241,77
8056.0,59.80372615771838,15.551418174961483,1499,1,4,4705,8067.0,59.763276573548,14.606722919106618,1499.0,2.0,4.0,10229.0,225,241,77
8057.0,59.80439039336082,15.228544788501065,1500,1,4,4711,8067.0,59.76725836546203,14.248688621789984,1500.0,2.0,4.0,10235.0,225,241,77
8057.0,59.80439039336082,15.228544788501065,1500,1,4,4711,8067.0,59.76725836546203,14.248688621789984,1500.0,2.0,4.0,10235.0,225,241,77
8057.0,59.80937594563258,15.37616494297493,1501,1,4,4717,8068.0,59.76728931399036,14.882180271016152,1501.0,2.0,4.0,10241.0,225,241,77
8057.0,59.80937594563258,15.37616494297493,1501,1,4,4717,8068.0,59.76728931399036,14.882180271016152,1501.0,2.0,4.0,10241.0,225,241,77
8058.0,59.81202759620943,15.171896332598662,1502,1,4,4723,8068.0,59.77300929978512,14.657274482444953,1502.0,2.0,4.0,10247.0,225,241,77
8058.0,59.81202759620943,15.171896332598662,1502,1,4,4723,8068.0,59.77300929978512,14.657274482444953,1502.0,2.0,4.0,10247.0,225,241,77
8059.0,59.81774450010536,15.14679275028266,1503,1,4,4730,8068.0,59.78147250588516,14.55168695952725,1503.0,2.0,4.0,10254.0,225,241,77
8059.0,59.81774450010536,15.14679275028266,1503,1,4,4730,8068.0,59.78147250588516,14.55168695952725,1503.0,2.0,4.0,10254.0,225,241,77
8059.0,59.82910336785689,15.125836475274127,1504,1,4,4738,8071.0,59.78076022396338,14.4148272621564,1504.0,2.0,4.0,10262.0,225,241,77
8059.0,59.82910336785689,15.125836475274127,1504,1,4,4738,8071.0,59.78076022396338,14.4148272621564,1504.0,2.0,4.0,10262.0,225,241,77
8057.0,59.84810923721166,15.61761514928886,1505,1,4,4744,8072.0,59.7882556364417,14.339170317806849,1505.0,2.0,4.0,10268.0,225,241,77
8059.0,59.85418709901612,15.012293441275856,1506,1,4,4750,8069.0,59.81602650007351,14.982740856223971,1506.0,2.0,4.0,10274.0,225,250,77
8072.0,59.80305127979822,15.327287807571429,1506,1,4,4751,8074.0,59.7949398413093,14.8877423645993,1506.0,2.0,4.0,10275.0,235,241,77
8072.0,59.80305127979822,15.327287807571429,1506,1,4,4751,8074.0,59.7949398413093,14.8877423645993,1506.0,2.0,4.0,10275.0,235,241,77
8061.0,59.86405476616567,15.441175341132734,1507,1,4,4757,8076.0,59.806703931090205,13.985442893880697,1507.0,2.0,4.0,10281.0,225,241,77
8064.0,59.87180737375122,15.163365122984484,1508,1,4,4763,8079.0,59.81458239492119,14.946544037495714,1508.0,2.0,4.0,10287.0,225,241,77
8066.0,59.88287084241208,15.660331768578388,1509,1,4,4768,8081.0,59.82568018707817,14.53294395401349,1509.0,2.0,4.0,10292.0,225,241,77
8069.0,59.89337815796547,15.536581465438712,1510,1,4,4773,8083.0,59.84125300868335,13.87377393313968,1510.0,2.0,4.0,10297.0,225,241,77
8073.0,59.9100907846377,15.578641588000783,1511,1,4,4778,8088.0,59.861452284404734,14.183231680615608,1511.0,2.0,4.0,10302.0,225,241,77
8077.0,59.93121019801061,15.497163868360303,1512,1,4,4783,8092.0,59.88261203921896,14.110568978550315,1512.0,2.0,4.0,10307.0,225,241,77
8080.0,59.95113282441298,15.44359987926254,1513,1,4,4787,8096.0,59.89797309064244,14.664224584268196,1513.0,2.0,4.0,10311.0,225,241,77
8083.0,59.96781154824152,15.481509538007128,1514,1,4,4792,8099.0,59.91362131978054,14.704111791235274,1514.0,2.0,4.0,10316.0,225,241,77
8086.0,59.97361797034815,15.11004162647869,1515,1,4,4797,8101.0,59.92336912658288,14.391259661790672,1515.0,2.0,4.0,10321.0,225,241,77
8088.0,59.98637793102364,15.716612772466144,1516,1,4,4802,8104.0,59.93246716047832,14.496561938467751,1516.0,2.0,4.0,10326.0,225,241,77
8091.0,59.99630816884619,15.230630583568333,1517,1,4,4807,8107.0,59.9429289328163,14.747536073285616,1517.0,2.0,4.0,10331.0,225,241,77
8094.0,60.00925099978183,15.115812033302406,1518,1,4,4813,8110.0,59.95664987490357,14.519729399079042,1518.0,2.0,4.0,10337.0,225,241,77
8097.0,60.02826183297656,15.93631901701442,1519,1,4,4818,8114.0,59.97245213461411,14.487040746556486,1519.0,2.0,4.0,10342.0,225,241,77
8102.0,60.04103630609923,15.387389807003984,1520,1,4,4823,8118.0,59.98896918371135,14.369943718355682,1520.0,2.0,4.0,10347.0,225,241,77
8105.0,60.05149500325187,15.486946030749568,1521,1,4,4828,8121.0,59.99844899510568,14.584754107852929,1521.0,2.0,4.0,10352.0,225,241,77
8108.0,60.05934591982311,15.050117688590236,1522,1,4,4833,8124.0,60.00562178177336,14.885269552706085,1522.0,2.0,4.0,10357.0,225,241,77
8110.0,60.071725944889785,15.922812547422222,1523,1,4,4838,8127.0,60.01369370283287,14.576123915002418,1523.0,2.0,4.0,10362.0,225,241,77
8112.0,60.08144191026845,16.36873000686272,1524,1,4,4843,8130.0,60.01897424101329,14.581847556278133,1524.0,2.0,4.0,10367.0,225,241,77
8114.0,60.08656482436872,16.142246576057378,1525,1,4,4848,8132.0,60.023765084838125,14.515995731726823,1525.0,2.0,4.0,10372.0,225,241,77
8116.0,60.09103387244594,15.760816772774673,1526,1,4,4853,8134.0,60.02802747505012,14.712634835818552,1526.0,2.0,4.0,10377.0,225,241,77
8118.0,60.09552793377775,15.423983884636746,1527,1,4,4858,8136.0,60.032550603851,14.852661464988472,1527.0,2.0,4.0,10382.0,225,241,77
8120.0,60.100135074531046,15.253118884626652,1528,1,4,4864,8137.0,60.04129983399057,14.29359855660094,1528.0,2.0,4.0,10388.0,225,241,77
8121.0,60.10850386075217,16.24533149541943,1529,1,4,4871,8139.0,60.04547895024077,14.47090310065479,1529.0,2.0,4.0,10395.0,225,241,77
8123.0,60.11240724017241,15.843203028852914,1530,1,4,4879,8141.0,60.04966284475416,14.597164539189862,1530.0,2.0,4.0,10403.0,225,241,77
8125.0,60.11421002195873,15.17421038084973,1531,1,4,4887,8143.0,60.05146556875204,14.998283662934536,1531.0,2.0,4.0,10411.0,225,241,77
8126.0,60.12036624694869,15.705574047271773,1532,1,4,4894,8144.0,60.05766993989217,14.54562618682183,1532.0,2.0,4.0,10418.0,225,241,77
8128.0,60.122968362108296,15.219395422687388,1533,1,4,4900,8145.0,60.06401984728155,14.10265628547446,1533.0,2.0,4.0,10424.0,225,241,77
8129.0,60.13010141787074,15.981067338206293,1534,1,4,4906,8147.0,60.06660476974062,14.536301275002868,1534.0,2.0,4.0,10430.0,225,241,77
8131.0,60.135292794108295,16.114858726200993,1535,1,4,4912,8149.0,60.07123629139728,14.609819863746884,1535.0,2.0,4.0,10436.0,225,241,77
8134.0,60.13999894296423,15.843304724344891,1536,1,4,4917,8151.0,60.07925281711098,14.281806345458184,1536.0,2.0,4.0,10441.0,225,241,77
8139.0,60.14359802650045,15.06624720709014,1537,1,4,4921,8155.0,60.08692902912822,14.387688950585511,1537.0,2.0,4.0,10445.0,225,241,77
8143.0,60.15337148522798,15.38932592002242,1538,1,4,4925,8159.0,60.09676993950966,14.254218126249755,1538.0,2.0,4.0,10449.0,225,241,77
8146.0,60.15983447340554,15.53231110823583,1539,1,4,4930,8163.0,60.09889114429834,14.993896332974352,1539.0,2.0,4.0,10454.0,225,241,77
8149.0,60.16468399315895,15.606682164286257,1540,1,4,4935,8166.0,60.10277633168608,14.968201659514,1540.0,2.0,4.0,10459.0,225,241,77
8152.0,60.16772954060693,15.544233619353024,1541,1,4,4940,8170.0,60.10102517597087,14.963168983172093,1541.0,2.0,4.0,10464.0,225,241,77
8155.0,60.1675335400744,15.072700924074208,1542,1,4,4945,8174.0,60.09673103666389,14.938934423033803,1542.0,2.0,4.0,10469.0,225,241,77
8157.0,60.17031083638651,15.031610630330505,1543,1,4,4951,8176.0,60.100240800305386,14.63141001560304,1543.0,2.0,4.0,10475.0,225,241,77
8158.0,60.17586709933194,15.500255090878031,1544,1,4,4957,8178.0,60.10258423603042,14.621817014082966,1544.0,2.0,4.0,10481.0,225,241,77
8160.0,60.17658279158482,15.133380207274646,1545,1,4,4962,8180.0,60.10410579041493,14.791749641844914,1545.0,2.0,4.0,10486.0,225,241,77
